Date,Details,Location,province
"January 13, 2021","Positive COVID-19 test of an employee. The employee last worked on January 11, 2021.","155574 Fraser Hwy, Surrey, BC",British Columbia
"January 8, 2021","Positive COVID-19 test of an employee. The employee last worked on January 5, 2021.","7229 Kingsway Ave, Burnaby, BC",British Columbia
"January 8, 2021","Positive COVID-19 test of an employee. The employee last worked on January 7, 2021.","9638 160th Street , Surrey, BC",British Columbia
"January 6, 2021","Positive COVID-19 test of an employee. The employee last worked on January 4, 2021.","537 W Broadway Vancouver, BC",British Columbia
"January 6, 2021","Positive COVID-19 test of an employee. The employee last worked on January 2, 2021.","34618 Delair Road, Abbotsford, BC",British Columbia
"January 16, 2021","Positive COVID-19 test of an employee. The employee last worked on January 11, 2021","2680 52 ST NE, Calgary, AB",Alberta
"January 14, 2021","Positive COVID-19 test of an employee. The employee last worked on January 10, 2021","401 Coopers Dr SW,  Airdrie, AB",Alberta
"January 14, 2021","Positive COVID-19 test of an employee. The employee last worked on January 11, 2021","10375 51st Ave. NW Edmonton, AB",Alberta
"January 14, 2021","Positive COVID-19 test of an employee. The employee last worked on January 11, 2021","5202 50th Ave, Red Deer, AB",Alberta
"January 13, 2021","Positive COVID-19 test of an employee. The employee last worked on January 10, 2021","5219 Falsbridge Dr. NE, Calgary, AB",Alberta
"January 12, 2021","Positive COVID-19 test of an employee. The employee last worked on January 8, 2021","122 800 Pine Road, Strathmore, AB",Alberta
"January 12, 2021","Positive COVID-19 test of an employee. The employee last worked on January 10, 2021","16725 Stony Plain Rd, Edmonton, AB",Alberta
"January 11, 2021","Positive COVID-19 test of an employee. The employee last worked on January 10, 2021","3611 17th Ave SW, Calgary, AB",Alberta
"January 10, 2021","Positive COVID-19 test of an employee. The employee last worked on January 6, 2021.","#5000-250 East Hills Square SE, Calgary, AB",Alberta
"Positive COVID-19 test of an employee. The employee last worked on January 6, 2021.",NA,NA,Alberta
"January 9, 2021","Positive COVID-19 test of an employee. The employee last worked on January 8, 2021","9321 137 Ave, Edmonton, AB",Alberta
"January 6, 2021","Positive COVID-19 test of an employee. The employee last worked on January 3, 2021","11260 Groat Rd NW, Edmonton, AB",Alberta
"January 17, 2021","Positive COVID-19 test of an employee. The employee last worked on January 13, 2021.","1955 Prince Of Wales Drive, Regina, SK",Saskatchewan
"January 14, 2021","Positive COVID-19 test of an employee. The employee last worked on January 10, 2021.","3202 Preston Avenue South, Saskatoon, SK",Saskatchewan
"January 11, 2021","Positive COVID-19 test of an employee. The employee last worked on January 7, 2021.","11102-Railway Ave E, North Battleford, SK",Saskatchewan
"January 7, 2021","Positive COVID-19 test of an employee. The employee last worked on January 4, 2021.","4500 Gordon Road, Regina, SK",Saskatchewan
"January 7, 2021","Positive COVID-19 test of an employee. The employee last worked on January 3, 2021.","4651 Albert Street S, Regina, SK",Saskatchewan
"January 7, 2021","Positive COVID-19 test of an employee. The employee last worked on January 3, 2021.","10 Kenderdine Road, Saskatoon, SK",Saskatchewan
"January 16, 2021","Positive COVID-19 test of an employee. The employee last worked on January 14, 2021","1665 Kenaston Blvd, Winnipeg MB",Manitoba
"January 15, 2021","Positive COVID-19 test of an employee. The employee last worked on January 9, 2021","1475 Regent Ave. West Winnipeg, MB",Manitoba
"January 13, 2021","Positive COVID-19 test of an employee. The employee last worked on January 8, 2021","1461 Main St South, Dauphin, MB",Manitoba
"January 6, 2021","Positive COVID-19 test of an employee. The employee last worked on January 4, 2021.","1907 Richmond Ave, Brandon, MB",Manitoba
"January 19, 2021","Positive COVID-19 test of an employee. The employee last worked on January 16, 2021.","20 Rymal Road East, Hamilton, ON",Ontario
"January 18, 2021","Positive COVID-19 test of an employee. The employee last worked on January 16, 2021.","674 Queenston RD, Hamilton, ON",Ontario
"January 18, 2021","Positive COVID-19 test of an employee. The employee last worked on January 13, 2021.","115 Hamilton Street N, Waterdown, ON",Ontario
"January 18, 2021","Positive COVID-19 test of an employee. The employee last worked on January 13, 2021.","150 Rimrock Road, North York, ON",Ontario
"January 17, 2021","Positive COVID-19 test of an employee. The employee last worked on January 15, 2021.","500 Welland Avenue, St Catharines, ON",Ontario
"January 17, 2021","Positive COVID-19 test of an employee. The employee last worked on January 12, 2021.","9485 Mississauga Road, Brampton, Ontario",Ontario
"January 17, 2021","Positive COVID-19 test of an employee. The employee last worked on January 15, 2021.","4435 Kingston Rd. Scarborough, ON",Ontario
"January 16, 2021","Positive COVID-19 test of an employee. The employee last worked on January 13, 2021.","11 St. Clair Ave East, Toronto, ON",Ontario
"January 16, 2021","Positive COVID-19 test of an employee. The employee last worked on January 14, 2021.","2439 Steeles Ave E, Toronto, ON",Ontario
"January 15, 2021","Positive COVID-19 test of an employee. The employee last worked on January 11, 2021.","2 Ingram Dr, Toronto, ON",Ontario
"January 14, 2021","Positive COVID-19 test of an employee. The employee last worked on January 12, 2021.","808 York Mills Rd., North York, ON",Ontario
"January 14, 2021","Positive COVID-19 test of an employee. The employee last worked on January 10, 2021.","1571 Sandhurst Circle, Scarborough, ON",Ontario
"January 13, 2021","Positive COVID-19 test of an employee. The employee last worked on January 9, 2021.","1966 Eglinton Avenue East, Toronto, ON",Ontario
"January 13, 2021","Positive COVID-19 test of an employee. The employee last worked on January 10, 2021.","787 Barton Street East, Hamilton, ON",Ontario
"January 12, 2021","Positive COVID-19 test of an employee. The employee last worked on January 8, 2021.","1900 Eglinton Ave E, Toronto, ON",Ontario
"January 12, 2021","Positive COVID-19 test of an employee. The employee last worked on January 8, 2021.","6170 Bathurst Street, North York, ON",Ontario
"January 12, 2021","Positive COVID-19 test of an employee. The employee last worked on January 9, 2021.","40 Sportsworld Dr, Kitchener, ON",Ontario
"January 12, 2021","Positive COVID-19 test of an employee. The employee last worked on January 10, 2021.","150 Rimrock Rd, Toronto, ON",Ontario
"January 11, 2021","Positive COVID-19 test of an employee. The employee last worked on January 8, 2021.","2870 Eglinton Ave East , Scarborough, ON",Ontario
"January 11, 2021","Positive COVID-19 test of an employee. The employee last worked on January 7, 2021.","222 Bayly St W, Ajax, ON",Ontario
"January 11, 2021","Positive COVID-19 test of an employee. The employee last worked on January 8, 2021.","675 Upper James Street, Hamilton, ON",Ontario
"January 10, 2021","Positive COVID-19 test of an employee. The employee last worked on January 8, 2021.","1070 Major Mackenzie Drive East, Richmond Hill, ON",Ontario
"January 10, 2021","Positive COVID-19 test of two employees. The employees last worked on January 5 and January 7, 2021.","30 Coventry Road Brampton, ON",Ontario
"January 10, 2021","Positive COVID-19 test of an employee. The employee last worked on January 7, 2021.","11 Woodlawn Rd. W., Guelph, ON",Ontario
"January 10, 2021","January 10, 2021","Positive COVID-19 test of an employee. The employee last worked on January 6, 2021.",Ontario
"January 10, 2021",NA,NA,Ontario
"Positive COVID-19 test of an employee. The employee last worked on January 6, 2021.",NA,NA,Ontario
"January 8, 2021","Positive COVID-19 test of an employee. The employee last worked on January 5, 2021.","4808 Sheppard Road, Toronto, ON",Ontario
"January 7, 2021","Positive COVID-19 test of an employee. The employee last worked on January 4, 2021.","416 Hespeler Road, Cambridge, ON",Ontario
"January 7, 2021","Positive COVID-19 test of an employee. The employee last worked on January 3, 2021.","25 Joe Shuster Way, Toronto, ON",Ontario
"January 6, 2021","Positive COVID-19 test of two employees. The employees last worked on January 2 and January 3, 2021.","300 Steeles Avenues West, Thornhill, ON",Ontario
"January 19, 2021","Positive COVID-19 test of an employee. The employee last worked on January 16, 2021.","13880 Chemin Saint-Simon, Mirabel, QC",Québec
"January 17, 2021","Positive COVID-19 test of an employee. The employee last worked on January 17, 2021.","247 Montee Masson, Mascouche, QC",Québec
"January 16, 2021","Positive COVID-19 test of an employee. The employee last worked on January 14, 2021.","13880 Chemin Saint-Simon, Mirabel ,QC",Québec
"January 15, 2021","Positive COVID-19 test of an employee. The employee last worked on January 11, 2021.","535 boulevard des Bois-Francs Sud, Victoriaville, QC",Québec
"January 14, 2021","Positive COVID-19 test of an employee. The employee last worked on January 11, 2021.","650 Boul. Roland-Therrien, Longueuil, QC",Québec
"January 14, 2021","Positive COVID-19 test of an employee. The employee last worked on January 10, 2021.","305 boul. Sir Wilfrid-Laurier, Beloeil, QC",Québec
"January 13, 2021","Positive COVID-19 test of an employee. The employee last worked on January 9, 2021.","2005 Boul. St-Martin, Laval, QC",Québec
"January 13, 2021","Positive COVID-19 test of an employee. The employee last worked on January 10, 2021.","250 Boul. Brisebois, Châteauguay, QC",Québec
"January 13, 2021","Positive COVID-19 test of an employee. The employee last worked on January 10, 2021.","12090, Rue Sherbrooke E, Pointe aux Trembles, QC",Québec
"January 12, 2021","Positive COVID-19 test of an employee. The employee last worked on January 9, 2021.","37, Boul. Samson, Laval, QC",Québec
"January 12, 2021","Positive COVID-19 test of an employee. The employee last worked on January 7, 2021.","1280 Rue du Pont, Saint-Lambert-De-Lauzon, QC",Québec
"January 12, 2021","Positive COVID-19 test of an employee. The employee last worked on January 9, 2021.","7505 Boul, Grande Allee, Brossard, QC",Québec
"January 11, 2021","Positive COVID-19 test of an employee. The employee last worked on January 7, 2021.","7450 Taschereau Boul., Brossard, QC",Québec
"January 11, 2021","January 11, 2021","Positive COVID-19 test of an employee. The employee last worked on January 5, 2021.",Québec
"January 11, 2021",NA,NA,Québec
"January 10, 2021","January 10, 2021","Positive COVID-19 test of an employee. The employee last worked on January 6, 2021.",Québec
"January 10, 2021",NA,NA,Québec
"January 10, 2021","Positive COVID-19 test of an employee. The employee last worked on January 8, 2021.","Positive COVID-19 test of an employee. The employee last worked on January 8, 2021.",Québec
"Positive COVID-19 test of an employee. The employee last worked on January 8, 2021.",NA,NA,Québec
"January 8, 2021","January 8, 2021",,Québec
"January 8, 2021",,NA,Québec
"January 8, 2021","January 8, 2021","Positive COVID-19 test of an employee. The employee last worked on January 5, 2021.",Québec
"January 8, 2021",NA,NA,Québec
"January 8, 2021","January 8, 2021",,Québec
"January 8, 2021",,NA,Québec
"January 8, 2021","January 8, 2021",,Québec
"January 8, 2021",,NA,Québec
"January 8, 2021","Positive COVID-19 test of an employee. The employee last worked on January 3, 2021.","10333 Boul. Pie-IX, Montreal-Nord, QC",Québec
"January 7, 2021","Positive COVID-19 test of an employee. The employee last worked on January 3, 2021.","1500 chemin de St-Jean, La Prairie, QC",Québec
"January 6, 2021","Positive COVID-19 test of an employee. The employee last worked on January 1, 2021.","37, boul. Samson, Laval, QC",Québec
"January 6, 2021","Positive COVID-19 test of two employees. The employees last worked on December 30, 2020 and January 3, 2021.","560 voie de la desserte Route 132, St-Constant, QC, J5A 2S6",Québec
"January 6, 2021","Positive COVID-19 test of two employees. The employees last worked on January 3, 2021.","33 rue Merry Sud, Magog, QC",Québec
"January 6, 2021","Positive COVID-19 test of an employee. The employee last worked on January 4, 2021.","13880 Chemin Saint-Simon, Mirabel ,QC,",Québec
"January 6, 2021","Positive COVID-19 test of an employee. The employee last worked on January 4, 2021.","3900 boul. Wilfrid Hamel, Québec, QC",Québec
"January 6, 2021","Positive COVID-19 test of two employees. The employees last worked on January 2 and January 3, 2021.","50 rue Brunet, Mont-Saint-Hilaire, QC",Québec
